x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-0.719894,1.39335,2.06347,-0.546558,0.648879,1.93754
-0.749889,1.45141,2.06612,-0.579484,0.710839,1.93934
-0.779885,1.50947,2.06876,-0.611737,0.77518,1.94129
-0.809881,1.56752,2.07141,-0.645425,0.840286,1.9435
-0.839876,1.62558,2.07405,-0.685153,0.917744,1.94654
-0.869872,1.68363,2.0767,-0.718549,0.985499,1.94936
-0.899867,1.74169,2.07934,-0.751327,1.05393,1.95231
-0.929863,1.79975,2.08199,-0.788838,1.13416,1.95595
-0.959859,1.8578,2.08463,-0.820318,1.20298,1.95926
-0.989854,1.91586,2.08727,-0.851034,1.27124,1.96279
-1.01985,1.97392,2.08992,-0.885902,1.34997,1.96748
-1.04985,2.03197,2.09256,-0.916241,1.422,1.9717
-1.07984,2.09003,2.09521,-0.945985,1.49334,1.97605
-1.10984,2.14809,2.09785,-0.975004,1.56292,1.9806
-1.13983,2.20614,2.1005,-1.00819,1.6421,1.98596
-1.16983,2.2642,2.10314,-1.0362,1.70824,1.99025
-1.19982,2.32225,2.10579,-1.06388,1.77258,1.9946
-1.22982,2.38031,2.10843,-1.09132,1.83526,1.9992
-1.25981,2.43837,2.11108,-1.12327,1.90664,2.00436
-1.28981,2.49642,2.11372,-1.15165,1.97262,2.00846
-1.31981,2.55448,2.11637,-1.1802,2.038,2.01241
-1.3498,2.61254,2.11901,-1.20882,2.10185,2.01614
-1.3798,2.67059,2.12166,-1.23755,2.16451,2.01962
-1.40979,2.72865,2.1243,-1.2712,2.23625,2.02332
-1.43979,2.78671,2.12695,-1.30017,2.29667,2.0264
-1.46978,2.84476,2.12959,-1.32922,2.3561,2.02949
-1.49978,2.90282,2.13223,-1.35833,2.41476,2.03261
-1.52977,2.96087,2.13488,-1.39156,2.48581,2.03617
-1.55977,3.01893,2.13752,-1.41987,2.54693,2.03899
-1.58977,3.07699,2.14017,-1.44821,2.60718,2.04182
-1.61976,3.13504,2.14281,-1.47662,2.66679,2.04475
-1.64976,3.1931,2.14546,-1.50988,2.73579,2.04815
-1.67975,3.25116,2.1481,-1.5385,2.79446,2.05076
-1.70975,3.30921,2.15075,-1.56723,2.85265,2.05328
-1.75189,3.35324,2.15433,-1.60096,2.92011,2.05621
-1.81338,3.37495,2.1594,-1.62496,2.96944,2.05826
-1.87486,3.39666,2.16447,-1.65888,3.03791,2.0616
-1.93635,3.41836,2.16955,-1.68876,3.09514,2.06527
-1.99783,3.44007,2.17462,-1.71998,3.15039,2.06905
-2.05932,3.46177,2.17969,-1.75312,3.20275,2.0727
-2.1208,3.48348,2.18477,-1.79503,3.25902,2.07658
-2.18229,3.50518,2.18984,-1.83433,3.30237,2.07922
-2.24377,3.52689,2.19491,-1.88454,3.34664,2.08132
